Countries=130 getNumberofCountries 9 29156 73705  Zone:4 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 4)
Countries=72 getNumberofCountries 31 28545 48490  Zone:1 (turnaround time: 115 ms, execution time: 114 ms, waiting time: 1 ms, processed by Server 1)
Countries=40 getNumberofCountries 37 59132 141719  Zone:5 (turnaround time: 117 ms, execution time: 115 ms, waiting time: 2 ms, processed by Server 5)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 3)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 121 ms, execution time: 119 ms, waiting time: 2 ms, processed by Server 3)
Countries=22 getNumberofCountries 45 109430 135643  Zone:2 (turnaround time: 123 ms, execution time: 121 ms, waiting time: 2 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 121 ms, execution time: 120 ms, waiting time: 1 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 124 ms, execution time: 122 ms, waiting time: 2 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 119 ms, execution time: 118 ms, waiting time: 1 ms, processed by Server 2)
Countries=42 getNumberofCountries 35 55848 73143  Zone:1 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 1)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 121 ms, execution time: 120 ms, waiting time: 1 ms, processed by Server 3)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 122 ms, execution time: 121 ms, waiting time: 1 ms, processed by Server 3)
getPopulationofCountry avg turn-around time: 148 ms, avg execution time: 145 ms, avg waiting time: 2 ms, min turn-around time: 113 ms, max turn-around time: 367 ms
getNumberofCities avg turn-around time: 116 ms, avg execution time: 114 ms, avg waiting time: 1 ms, min turn-around time: 112 ms, max turn-around time: 129 ms
getNumberofCountries avg turn-around time: 118 ms, avg execution time: 116 ms, avg waiting time: 1 ms, min turn-around time: 114 ms, max turn-around time: 135 ms
